circuitId,circuitRef,name,location,country,lat,lng,alt,url,url_img_circuits
1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Adelaide_(long_route).svg/150px-Adelaide_(long_route).svg.png
2,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Circuit_Aintree.svg/150px-Circuit_Aintree.svg.png
4,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
5,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,130,http://en.wikipedia.org/wiki/Istanbul_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
6,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7,http://en.wikipedia.org/wiki/Circuit_de_Monaco,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Autódromo_de_Estoril_1994-1999.png/150px-Autódromo_de_Estoril_1994-1999.png
7,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,13,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
8,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,228,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
9,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153,http://en.wikipedia.org/wiki/Silverstone_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Mugello_Racing_Circuit_track_map_15_turns.svg/150px-Mugello_Racing_Circuit_track_map_15_turns.svg.png
10,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,103,http://en.wikipedia.org/wiki/Hockenheimring,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Imola_2009.svg/150px-Imola_2009.svg.png
11,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264,http://en.wikipedia.org/wiki/Hungaroring,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Autódromo_José_Carlos_Pace_(AKA_Interlagos)_track_map.svg/150px-Autódromo_José_Carlos_Pace_(AKA_Interlagos)_track_map.svg.png
12,valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,4,http://en.wikipedia.org/wiki/Valencia_Street_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Monza_track_map.svg/150px-Monza_track_map.svg.png
13,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
14,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
15,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,18,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Bahrain_International_Circuit--Grand_Prix_Layout.svg/150px-Bahrain_International_Circuit--Grand_Prix_Layout.svg.png
16,fuji,Fuji Speedway,Oyama,Japan,35.3717,138.927,583,http://en.wikipedia.org/wiki/Fuji_Speedway,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Baku_Formula_One_circuit_map.svg/150px-Baku_Formula_One_circuit_map.svg.png
17,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5,http://en.wikipedia.org/wiki/Shanghai_International_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
18,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Buddh_Circuit_1.svg/150px-Buddh_Circuit_1.svg.png
19,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,223,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
20,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,578,http://en.wikipedia.org/wiki/N%C3%BCrburgring,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,37,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Circuit_Charade_1958_1988.png/150px-Circuit_Charade_1958_1988.png
22,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,45,http://en.wikipedia.org/wiki/Suzuka_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Circuit_Bremgarten.svg/150px-Circuit_Bremgarten.svg.png
80,vegas,Las Vegas Strip Street Circuit,Las Vegas,United States,36.1147,-115.173,642,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Circuit_de_Catalunya_moto_2021.svg/150px-Circuit_de_Catalunya_moto_2021.svg.png
24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
25,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,8,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
26,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417,37,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Circuit_Pedralbes.png/150px-Circuit_Pedralbes.png
27,estoril,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417,130,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Circuit-Reims-1954.png/150px-Circuit-Reims-1954.png
28,okayama,Okayama International Circuit,Okayama,Japan,34.915,134.221,266,http://en.wikipedia.org/wiki/TI_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Spa-Francorchamps_of_Belgium.svg/150px-Spa-Francorchamps_of_Belgium.svg.png
29,adelaide,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,58,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Dijon-Prenois_Circuit.svg/150px-Dijon-Prenois_Circuit.svg.png
30,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,1460,http://en.wikipedia.org/wiki/Kyalami,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Île_Notre-Dame_(Circuit_Gilles_Villeneuve).svg/150px-Île_Notre-Dame_(Circuit_Gilles_Villeneuve).svg.png
31,donington,Donington Park,Castle Donington,UK,52.8306,-1.37528,88,http://en.wikipedia.org/wiki/Donington_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Circuit_Mont_Tremblant.png/150px-Circuit_Mont_Tremblant.png
32,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2227,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
33,phoenix,Phoenix street circuit,Phoenix,USA,33.4479,-112.075,345,http://en.wikipedia.org/wiki/Phoenix_street_circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
34,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Zandvoort_Circuit.png/168px-Zandvoort_Circuit.png
35,yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,0,http://en.wikipedia.org/wiki/Korean_International_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Circuit_Zolder-1975-1985.svg/150px-Circuit_Zolder-1975-1985.svg.png
36,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,1126,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Boavista_(Oporto).svg/150px-Boavista_(Oporto).svg.png
37,detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,177,http://en.wikipedia.org/wiki/Detroit_street_circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Circuit_Monsanto.png/150px-Circuit_Monsanto.png
38,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,145,http://en.wikipedia.org/wiki/Brands_Hatch,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Jerez_Grand_prix_Circuit_1994-2003.svg/150px-Jerez_Grand_prix_Circuit_1994-2003.svg.png
39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,6,http://en.wikipedia.org/wiki/Circuit_Zandvoort,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuito_Permanente_del_Jarama_1980.svg/150px-Circuito_Permanente_del_Jarama_1980.svg.png
40,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,36,http://en.wikipedia.org/wiki/Zolder,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
41,dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913,484,http://en.wikipedia.org/wiki/Dijon-Prenois,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Downtown_Detroit_Street_Circuit.svg/150px-Downtown_Detroit_Street_Circuit.svg.png
42,dallas,Fair Park,Dallas,USA,32.7774,-96.7587,139,http://en.wikipedia.org/wiki/Fair_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Donington_as_of_2006.svg/150px-Donington_as_of_2006.svg.png
43,long_beach,Long Beach,California,USA,33.7651,-118.189,12,"http://en.wikipedia.org/wiki/Long_Beach,_California",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Fuji.svg/150px-Fuji.svg.png
44,las_vegas,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,639,http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
45,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,609,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Hungaroring.svg/150px-Hungaroring.svg.png
46,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,485,http://en.wikipedia.org/wiki/Watkins_Glen_International,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Indianapolis_Motor_Speedway_-_road_course.svg/150px-Indianapolis_Motor_Speedway_-_road_course.svg.png
47,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,153,http://en.wikipedia.org/wiki/Scandinavian_Raceway,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Istanbul_park.svg/150px-Istanbul_park.svg.png
48,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,332,http://en.wikipedia.org/wiki/Mosport,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Jeddah_Street_Circuit_2021.svg/150px-Jeddah_Street_Circuit_2021.svg.png
49,montjuic,Montjuïc,Barcelona,Spain,41.3664,2.15167,79,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
50,nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,139,http://en.wikipedia.org/wiki/Nivelles-Baulers,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Kyalami_1992_Layout.png/150px-Kyalami_1992_Layout.png
51,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,790,http://en.wikipedia.org/wiki/Charade_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Las_Vegas_Strip_Circuit_2023.png/150px-Las_Vegas_Strip_Circuit_2023.png
52,tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,214,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
53,essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,81,http://en.wikipedia.org/wiki/Rouen-Les-Essarts,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
54,lemans,Le Mans,Le Mans,France,47.95,0.224231,67,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
55,reims,Reims-Gueux,Reims,France,49.2542,3.93083,88,http://en.wikipedia.org/wiki/Reims-Gueux,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
56,george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,15,http://en.wikipedia.org/wiki/Prince_George_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
57,zeltweg,Zeltweg,Styria,Austria,47.2039,14.7478,676,http://en.wikipedia.org/wiki/Zeltweg_Airfield,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Mosport.svg/150px-Mosport.svg.png
58,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,20,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Circuit_Nivelles-Baulers.png/150px-Circuit_Nivelles-Baulers.png
59,boavista,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,28,http://en.wikipedia.org/wiki/Circuito_da_Boavista,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
60,riverside,Riverside International Raceway,California,USA,33.937,-117.273,470,http://en.wikipedia.org/wiki/Riverside_International_Raceway,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Circuit_Pescara.svg/150px-Circuit_Pescara.svg.png
61,avus,AVUS,Berlin,Germany,52.4806,13.2514,53,http://en.wikipedia.org/wiki/AVUS,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Phoenix_Grand_Prix_Route_-_1991.svg/150px-Phoenix_Grand_Prix_Route_-_1991.svg.png
62,monsanto,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,158,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Prince_George_Circuit.svg/150px-Prince_George_Circuit.svg.png
63,sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483,18,http://en.wikipedia.org/wiki/Sebring_Raceway,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
64,ain-diab,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,19,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Riverside_International_Raceway_1967.svg/150px-Riverside_International_Raceway_1967.svg.png
65,pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508,129,http://en.wikipedia.org/wiki/Pescara_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
66,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,551,http://en.wikipedia.org/wiki/Circuit_Bremgarten,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,85,http://en.wikipedia.org/wiki/Pedralbes_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Sebring_International_Raceway_-_Historical_(1952).svg/150px-Sebring_International_Raceway_-_Historical_(1952).svg.png
68,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,194,http://en.wikipedia.org/wiki/Buddh_International_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sepang.svg/150px-Sepang.svg.png
69,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Shanghai_International_Racing_Circuit_track_map.svg/150px-Shanghai_International_Racing_Circuit_track_map.svg.png
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678,http://en.wikipedia.org/wiki/Red_Bull_Ring,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Silverstone_Circuit_vector_map.png/150px-Silverstone_Circuit_vector_map.png
71,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,http://en.wikipedia.org/wiki/Sochi_Autodrom,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Circuit_Sochi.svg/150px-Circuit_Sochi.svg.png
73,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,http://en.wikipedia.org/wiki/Baku_City_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Suzuka_circuit_map--2005.svg/150px-Suzuka_circuit_map--2005.svg.png
75,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,108,http://en.wikipedia.org/wiki/Algarve_International_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
76,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255,http://en.wikipedia.org/wiki/Mugello_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
77,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,15,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
78,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,12,http://en.wikipedia.org/wiki/Losail_International_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
79,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,0,http://en.wikipedia.org/wiki/Miami_International_Autodrome,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
